Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,35 000 000 〒,"Алатауский р-н, мкр Томирис, Жапек батыр 23/3 — Халық парк",Алатауский,5,87,Floor: 1;  Construction year: 2015
Отдельный дом ,39 000 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское), Куусинина 12А — Якира",Жетысуский,4,62.8,Floor: 1;  Construction year: 1970
Отдельный дом ,455 000 000 〒,Иванилова 20,,5,430,
Дача ,35 000 000 〒,"Бостандыкский р-н, Грушовая 18",Бостандыкский,1,24.2,Floor: 1;  Construction year: 1970
Отдельный дом ,35 000 000 〒,"Жетысуский р-н, мкр Айнабулак-3, Палладина 94 — Паладина",Жетысуский,4,80,Floor: 1;  Construction year: 1989
Отдельный дом ,40 000 000 〒,"Медеуский р-н, мкр Каменское плато 8 — улица Оспанова",Медеуский,2,75,Floor: 2;  Construction year: 2005
Часть дома ,32 500 000 〒,"Жетысуский р-н, Бийская 1 в — Уг. ул.Дарвина",Жетысуский,4,94,Floor: 1;  Construction year: 1961
Отдельный дом ,150 000 000 〒,"Наурызбайский р-н, мкр Рахат, Алатау 23 — СТ Алатау 23 по 2ГИС",Наурызбайский,8,450,Floor: 3;  Construction year: 2011
Отдельный дом ,38 000 000 〒,"Жетысуский р-н, Новгородская 228 — Сейфуллина",Жетысуский,8,240,Floor: 2;  Construction year: 2014
Отдельный дом ,81 000 000 〒,Жанатурмыс 2 — Только сегодня,,5,170,Floor: 2;  Construction year: 2018
Отдельный дом ,295 000 000 〒,"Наурызбайский р-н, мкр Карагайлы — Мечеть",Наурызбайский,6,390,Floor: 3;  Construction year: 2008
Отдельный дом ,25 000 000 〒,"Алатауский р-н, мкр Мадениет, Тасболат 66",Алатауский,2,57.3,Floor: 1;  Construction year: 2020
Отдельный дом ,51 000 000 〒,"Алатауский р-н, мкр Заря Востока, Ботакара 8/1",Алатауский,5,180,Floor: 1;  Construction year: 2019
Отдельный дом ,25 000 000 〒,"Алатауский р-н, мкр Мадениет, Тасболат 66",Алатауский,2,57,Floor: 1;  Construction year: 2020
Отдельный дом ,283 000 000 〒,"Медеуский р-н, мкр Юбилейный 30",Медеуский,12,800,Floor: 4;  Construction year: 2013
Отдельный дом ,165 000 000 〒,"Медеуский р-н, Оспанова",Медеуский,8,643.4,Floor: 2;  Construction year: 2023
Отдельный дом ,56 000 000 〒,"Медеуский р-н, Поповича 105 а",Медеуский,4,73.3,Floor: 1;  Construction year: 1993
Отдельный дом ,125 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Ниязбекова",Наурызбайский,7,270,Floor: 2;  Construction year: 2011
Отдельный дом ,420 000 000 〒,"Алмалинский р-н, Муканова — Жамбула",Алмалинский,5,325,Construction year: 2022
Отдельный дом ,79 500 000 〒,"Турксибский р-н, мкр Кайрат",Турксибский,6,380,Construction year: 2023
Отдельный дом ,70 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Байкена Ашимова 36",Наурызбайский,5,68,Floor: 2;  Construction year: 1967
Отдельный дом ,35 500 000 〒,"Алмалинский р-н, мкр Тастак-2 — Туркебаева",Алмалинский,2,50,Floor: 1;  Construction year: 1963
Отдельный дом ,119 000 000 〒,"Наурызбайский р-н, мкр Карагайлы — Кали Надырова",Наурызбайский,4,200,Floor: Продается;  Construction year: 2008
Отдельный дом ,799 000 000 〒,Молдагулова,,9,1352,Floor: 1;  Construction year: 2022
Отдельный дом ,1 200 000 000 〒,Жамакаева 256а — Аль фараби,,8,820,Floor: 3;  Construction year: 2009
Отдельный дом ,1 750 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, Аль-Фараби — Навои",Бостандыкский,8,850,Floor: 3;  Construction year: 2010
Отдельный дом ,180 000 000 〒,"Медеуский р-н, мкр Коктобе — ВОАД",Медеуский,6,341,Floor: 2;  Construction year: 2016
Отдельный дом ,720 000 000 〒,"Медеуский р-н, мкр Коктобе 1 — Радлова",Медеуский,10,600,Floor: 3;  Construction year: 2005
Отдельный дом ,145 000 000 〒,"Ауэзовский р-н, Тополиная 6 — Айгерим 1",Ауэзовский,6,400,Floor: 2;  Construction year: 2002
Отдельный дом ,1 999 369 369 〒,"Бостандыкский р-н, мкр Мирас",Бостандыкский,7,800,Floor: 3;  Construction year: 2009
Отдельный дом ,230 000 000 〒,"Наурызбайский р-н, Тастыбулак 159 — Молдагалиева",Наурызбайский,7,450,Floor: 1;  Construction year: 2021
Отдельный дом ,170 000 000 〒,"Наурызбайский р-н, мкр Карагайлы",Наурызбайский,7,400,Floor: 2;  Construction year: 2020
Отдельный дом ,65 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Алтын зан 5 — Надырова",Наурызбайский,4,108,Floor: 1;  Construction year: 1991
Отдельный дом ,100 000 000 〒,"Турксибский р-н, мкр Жас Канат",Турксибский,6,186,Floor: 2;  Construction year: 2017
Отдельный дом ,125 000 000 〒,"Медеуский р-н, Рудзутака 6 — Истомина",Медеуский,4,160,Floor: 1;  Construction year: 1963
Отдельный дом ,60 000 000 〒,"Турксибский р-н, Свободная 65 — Московская",Турксибский,4,100,Floor: 1
Отдельный дом ,75 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Калкаман-2 Аханова 65",Наурызбайский,6,170,Floor: 1;  Construction year: 2007
Отдельный дом ,87 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 70 — Актамберды Жырау",Наурызбайский,5,137,Floor: 2;  Construction year: 2007
Отдельный дом ,55 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, ул МЕЧЕТЬ 104",Наурызбайский,5,222,Floor: 1;  Construction year: 2022
Отдельный дом ,180 000 000 〒,"Ауэзовский р-н, мкр Алмас 74",Ауэзовский,5,250,
Отдельный дом ,50 000 000 〒,"Ауэзовский р-н, Утеген батыра 7 — Райымбека",Ауэзовский,5,160,Floor: 1
Отдельный дом ,750 000 000 〒,"Медеуский р-н, Фонвизина 20",Медеуский,5,696.5,Floor: •
Отдельный дом ,42 000 000 〒,"Алатауский р-н, мкр Рахат, Талдыбулак 30",Алатауский,4,130,Floor: 1;  Construction year: 2017
Отдельный дом ,25 000 000 〒,"Алатауский р-н, мкр Боралдай (Бурундай) 83 — Вишневая",Алатауский,2,32,Floor: 1
Отдельный дом ,115 000 000 〒,"Турксибский р-н, Андронникова",Турксибский,7,387,Floor: 3
Отдельный дом ,35 000 000 〒,"Алмалинский р-н, мкр Тастак-2 127 — Аренского",Алмалинский,3,60,Floor: 1;  Construction year: 1960
Часть дома ,25 000 000 〒,"Турксибский р-н, Ахан серы 119 — Айбасова",Турксибский,5,90,Floor: 1;  Construction year: 1985
Отдельный дом ,49 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Сыпатай батыра 27 — Елибаева",Наурызбайский,4,123,Floor: 2;  Construction year: 2006
Отдельный дом ,150 000 000 〒,"Алатауский р-н, мкр Айгерим-2",Алатауский,5,120,Floor: 1;  Construction year: 2012
Дача ,35 000 000 〒,"Наурызбайский р-н, Алма 41 — Рынок алтын орда",Наурызбайский,4,65,Floor: 1;  Construction year: 2005
Отдельный дом ,90 000 000 〒,"Алатауский р-н, мкр Шанырак-2, Жанкожа батыр 201",Алатауский,4,110,Floor: 1;  Construction year: 2006
Отдельный дом ,35 000 000 〒,"Жетысуский р-н, Винтера 4 — Ул.Енлик гул 4 (бывш. улица Винтера)",Жетысуский,3,40,Floor: 1
Отдельный дом ,100 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Татимова 35",Наурызбайский,5,212,Floor: 2;  Construction year: 2024
Отдельный дом ,230 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, Жулдыз-5",Бостандыкский,5,330,Floor: 3;  Construction year: 2023
